,num_rel_holes_0,num_rel_holes_1,num_rel_holes_2,num_holes_0,num_holes_1,num_holes_2,avg_lifetime_0,avg_lifetime_1,avg_lifetime_2,amplitude,length_Betti_0,sum_length_0,average_length_0,onset_longest_Betti_0,smallest_onset_1,polynomial_feature_1_0,polynomial_feature_2_0,polynomial_feature_3_0,polynomial_feature_4_0,area_Betti_1
91,1,0,0,100,0,0,159999997918601.9,0.0,0.0,7999999895928832.0,1335.4656982421875,1.599999979186019e+16,159999997918601.9,0.0,0.0,0.0,4.0416113402435174e+17,0.0,8.513851956186901e+42,0.0
92,1,0,0,101,0,0,158415839523368.22,0.0,0.0,7999999895928832.0,1288.4656982421875,1.599999979186019e+16,158415839523368.22,0.0,0.0,0.0,4.0015676475199725e+17,0.0,7.462263807114529e+42,0.0
93,1,0,0,98,0,0,89531020160798.05,0.0,0.0,4387019987877888.0,1325.6177978515625,8774039975758209.0,89531020160798.05,0.0,0.0,0.0,2.1779600719700634e+17,0.0,2.493996934546562e+42,0.0
94,1,0,0,98,0,0,89531020160798.05,0.0,0.0,4387019987877888.0,1281.166748046875,8774039975758208.0,89531020160798.05,0.0,0.0,0.0,2.177789912087339e+17,0.0,2.2074600641295833e+42,0.0
95,1,0,0,99,0,0,88626666421800.08,0.0,0.0,4387019987877888.0,1234.166748046875,8774039975758208.0,88626666421800.08,0.0,0.0,0.0,2.1555704743507798e+17,0.0,1.922703213545072e+42,0.0
96,1,0,0,97,0,0,37029071611991.7,0.0,0.0,1795909973180416.0,1285.24951171875,3591819946363195.0,37029071611991.7,0.0,0.0,0.0,8.750323194676282e+16,0.0,3.7333609527176354e+41,0.0
97,1,0,0,97,0,0,37029071611991.7,0.0,0.0,1795909973180416.0,1240.7984619140625,3591819946363195.0,37029071611991.7,0.0,0.0,0.0,8.749619475495035e+16,0.0,3.292578589324821e+41,0.0
98,1,0,0,98,0,0,36651223942481.58,0.0,0.0,1795909973180416.0,1193.7984619140625,3591819946363194.5,36651223942481.58,0.0,0.0,0.0,8.659421367115085e+16,0.0,2.8574107850920378e+41,0.0
99,1,0,0,97,0,0,37029071611991.7,0.0,0.0,1795909973180416.0,1285.24951171875,3591819946363195.0,37029071611991.7,0.0,0.0,0.0,8.750323201787301e+16,0.0,3.7333603377082e+41,0.0
100,1,0,0,97,0,0,37029071611991.7,0.0,0.0,1795909973180416.0,1240.7984619140625,3591819946363195.0,37029071611991.7,0.0,0.0,0.0,8.749619475495035e+16,0.0,3.292578589324821e+41,0.0
101,1,0,0,98,0,0,36651223942481.58,0.0,0.0,1795909973180416.0,1193.7984619140625,3591819946363194.5,36651223942481.58,0.0,0.0,0.0,8.659421367115085e+16,0.0,2.8574107850920378e+41,0.0
102,1,0,0,97,0,0,37029071611991.7,0.0,0.0,1795909973180416.0,1285.24951171875,3591819946363195.0,37029071611991.7,0.0,0.0,0.0,8.750323201787301e+16,0.0,3.7333603377082e+41,0.0
103,1,0,0,97,0,0,37029071611991.7,0.0,0.0,1795909973180416.0,1240.7984619140625,3591819946363195.0,37029071611991.7,0.0,0.0,0.0,8.749619465873437e+16,0.0,3.2925793784119134e+41,0.0
104,1,0,0,98,0,0,36651223942481.58,0.0,0.0,1795909973180416.0,1193.7984619140625,3591819946363194.5,36651223942481.58,0.0,0.0,0.0,8.659421371716363e+16,0.0,2.8574123412933815e+41,0.0
105,1,0,0,97,0,0,2723288597684.8574,0.0,0.0,132079496986624.0,1205.136474609375,264158993975431.16,2723288597684.8574,0.0,0.0,0.0,5945330350209444.0,0.0,1.5549899913986197e+39,0.0
106,1,0,0,96,0,0,2751656187244.0737,0.0,0.0,132079496986624.0,1160.6854248046875,264158993975431.1,2751656187244.0737,0.0,0.0,0.0,6007156734128940.0,0.0,1.3718736790370797e+39,0.0
107,1,0,0,97,0,0,2723288597684.8564,0.0,0.0,132079496986624.0,1113.6854248046875,264158993975431.1,2723288597684.8564,0.0,0.0,0.0,5945179613356830.0,0.0,1.1776077677364997e+39,0.0
108,1,0,0,95,0,0,1526463165429.6929,0.0,0.0,72507000356864.0,1152.9248046875,145014000715820.8,1526463165429.6929,0.0,0.0,0.0,3194594037371953.0,0.0,3.997592970960766e+38,0.0
109,1,0,0,94,0,0,1542702135274.6875,0.0,0.0,72507000356864.0,1108.4737548828125,145014000715820.62,1542702135274.6875,0.0,0.0,0.0,3228285890678617.0,0.0,3.501540346701514e+38,0.0
110,1,0,0,95,0,0,1526463165429.6882,0.0,0.0,72507000356864.0,1061.4737548828125,145014000715820.38,1526463165429.6882,0.0,0.0,0.0,3193922328814612.0,0.0,2.980937185153084e+38,0.0
111,1,0,0,93,0,0,1559290330277.5837,0.0,0.0,72507000356864.0,1149.583740234375,145014000715815.28,1559290330277.5837,0.0,0.0,0.0,3254698495232712.5,0.0,4.0331982690961705e+38,0.0
112,1,0,0,92,0,0,1576239138215.3813,0.0,0.0,72507000356864.0,1105.1328125,145014000715815.1,1576239138215.3813,0.0,0.0,0.0,3289776277163212.5,0.0,3.530698928109549e+38,0.0
113,1,0,0,93,0,0,1559290330277.5789,0.0,0.0,72507000356864.0,1058.1328125,145014000715814.84,1559290330277.5789,0.0,0.0,0.0,3254012567546873.0,0.0,3.0019912624034563e+38,0.0
114,1,0,0,94,0,0,630928714664.6152,0.0,0.0,29653649588224.0,1115.1192626953125,59307299178473.836,630928714664.6152,0.0,0.0,0.0,1278157009181049.8,0.0,5.914614299793788e+37,0.0
115,1,0,0,93,0,0,637712894392.1897,0.0,0.0,29653649588224.0,1070.6683349609375,59307299178473.64,637712894392.1897,0.0,0.0,0.0,1291779515487037.5,0.0,5.156967635511187e+37,0.0
116,1,0,0,94,0,0,630928714664.6106,0.0,0.0,29653649588224.0,1023.6682739257812,59307299178473.39,630928714664.6106,0.0,0.0,0.0,1277879394239112.8,0.0,4.368225993924941e+37,0.0
117,1,0,0,94,0,0,630928714664.6152,0.0,0.0,29653649588224.0,1115.1192626953125,59307299178473.836,630928714664.6152,0.0,0.0,0.0,1278157011988575.8,0.0,5.91472768736151e+37,0.0
118,1,0,0,93,0,0,637712894392.1897,0.0,0.0,29653649588224.0,1070.6683349609375,59307299178473.64,637712894392.1897,0.0,0.0,0.0,1291779514995260.8,0.0,5.157093104669963e+37,0.0
119,1,0,0,94,0,0,630928714664.6106,0.0,0.0,29653649588224.0,1023.6682739257812,59307299178473.39,630928714664.6106,0.0,0.0,0.0,1277879393060085.5,0.0,4.368364147321529e+37,0.0
120,1,0,0,97,0,0,6098062090853.922,0.0,0.0,295756011405312.0,1246.473876953125,591512022812830.4,6098062090853.922,0.0,0.0,0.0,1.345489893612825e+16,0.0,8.889940467100559e+39,0.0
